played_at,track_id,track_name,artist_name
2025-10-31T06:29:50.939Z,78YTl0P96kBCBXUSzKoqAm,Control,"Playboi Carti"
2025-10-31T06:26:30.096Z,3kJLxsBFS9f0tzJ3THg9pF,"In Da Party",smokedope2016
2025-10-31T06:24:29.594Z,0jue0zxb5P4u3k55sFiuBK,Zodiac,Glokk40Spaz
2025-10-31T06:20:27.261Z,225tD8GiW9Ed7sardU7Ogw,"Let You Go",Weiland
2025-10-31T06:17:01.705Z,1DumrLl1vul7cpednU0E8w,"IM NOT GOD BUT I WISH I WAS (feat. Joeyy)",smokedope2016
2025-10-31T06:14:11.509Z,05NFt6hnomymkp09f4gGry,Tommy,Nettspend
2025-10-31T06:12:27.722Z,4uoADk7q83CHvXHW3k1etM,OLYMPIAN,"Playboi Carti"
2025-10-31T06:08:40.984Z,6HvwmWTC5TOOxDyIKaxuzO,Congrats,OsamaSon
2025-10-31T04:18:09.330Z,0FAlG6uOeaXWuRdDxaeIQY,"I'll Take It","Sophia Stel"
2025-10-31T04:14:45.429Z,1SHVjvXzI7yayY1RfZcxTP,"GMT (Greenwich Mean Time)","Title Fight"
